Dataset Order;Sepal length;Sepal width;Petal length;Petal width;Species
1;5.1;3.5;1.4;0.2;I.ÿsetosa
2;4.9;3.0;1.4;0.2;I.ÿsetosa
3;4.7;3.2;1.3;0.2;I.ÿsetosa
4;4.6;3.1;1.5;0.2;I.ÿsetosa
5;5.0;3.6;1.4;0.3;I.ÿsetosa
6;5.4;3.9;1.7;0.4;I.ÿsetosa
7;4.6;3.4;1.4;0.3;I.ÿsetosa
8;5.0;3.4;1.5;0.2;I.ÿsetosa
9;4.4;2.9;1.4;0.2;I.ÿsetosa
10;4.9;3.1;1.5;0.1;I.ÿsetosa
11;5.4;3.7;1.5;0.2;I.ÿsetosa
12;4.8;3.4;1.6;0.2;I.ÿsetosa
13;4.8;3.0;1.4;0.1;I.ÿsetosa
14;4.3;3.0;1.1;0.1;I.ÿsetosa
15;5.8;4.0;1.2;0.2;I.ÿsetosa
16;5.7;4.4;1.5;0.4;I.ÿsetosa
17;5.4;3.9;1.3;0.4;I.ÿsetosa
18;5.1;3.5;1.4;0.3;I.ÿsetosa
19;5.7;3.8;1.7;0.3;I.ÿsetosa
20;5.1;3.8;1.5;0.3;I.ÿsetosa
21;5.4;3.4;1.7;0.2;I.ÿsetosa
22;5.1;3.7;1.5;0.4;I.ÿsetosa
23;4.6;3.6;1.0;0.2;I.ÿsetosa
24;5.1;3.3;1.7;0.5;I.ÿsetosa
25;4.8;3.4;1.9;0.2;I.ÿsetosa
26;5.0;3.0;1.6;0.2;I.ÿsetosa
27;5.0;3.4;1.6;0.4;I.ÿsetosa
28;5.2;3.5;1.5;0.2;I.ÿsetosa
29;5.2;3.4;1.4;0.2;I.ÿsetosa
30;4.7;3.2;1.6;0.2;I.ÿsetosa
31;4.8;3.1;1.6;0.2;I.ÿsetosa
32;5.4;3.4;1.5;0.4;I.ÿsetosa
33;5.2;4.1;1.5;0.1;I.ÿsetosa
34;5.5;4.2;1.4;0.2;I.ÿsetosa
35;4.9;3.1;1.5;0.2;I.ÿsetosa
36;5.0;3.2;1.2;0.2;I.ÿsetosa
37;5.5;3.5;1.3;0.2;I.ÿsetosa
38;4.9;3.6;1.4;0.1;I.ÿsetosa
39;4.4;3.0;1.3;0.2;I.ÿsetosa
40;5.1;3.4;1.5;0.2;I.ÿsetosa
41;5.0;3.5;1.3;0.3;I.ÿsetosa
42;4.5;2.3;1.3;0.3;I.ÿsetosa
43;4.4;3.2;1.3;0.2;I.ÿsetosa
44;5.0;3.5;1.6;0.6;I.ÿsetosa
45;5.1;3.8;1.9;0.4;I.ÿsetosa
46;4.8;3.0;1.4;0.3;I.ÿsetosa
47;5.1;3.8;1.6;0.2;I.ÿsetosa
48;4.6;3.2;1.4;0.2;I.ÿsetosa
49;5.3;3.7;1.5;0.2;I.ÿsetosa
50;5.0;3.3;1.4;0.2;I.ÿsetosa
51;7.0;3.2;4.7;1.4;I.ÿversicolor
52;6.4;3.2;4.5;1.5;I.ÿversicolor
53;6.9;3.1;4.9;1.5;I.ÿversicolor
54;5.5;2.3;4.0;1.3;I.ÿversicolor
55;6.5;2.8;4.6;1.5;I.ÿversicolor
56;5.7;2.8;4.5;1.3;I.ÿversicolor
57;6.3;3.3;4.7;1.6;I.ÿversicolor
58;4.9;2.4;3.3;1.0;I.ÿversicolor
59;6.6;2.9;4.6;1.3;I.ÿversicolor
60;5.2;2.7;3.9;1.4;I.ÿversicolor
61;5.0;2.0;3.5;1.0;I.ÿversicolor
62;5.9;3.0;4.2;1.5;I.ÿversicolor
63;6.0;2.2;4.0;1.0;I.ÿversicolor
64;6.1;2.9;4.7;1.4;I.ÿversicolor
65;5.6;2.9;3.6;1.3;I.ÿversicolor
66;6.7;3.1;4.4;1.4;I.ÿversicolor
67;5.6;3.0;4.5;1.5;I.ÿversicolor
68;5.8;2.7;4.1;1.0;I.ÿversicolor
69;6.2;2.2;4.5;1.5;I.ÿversicolor
70;5.6;2.5;3.9;1.1;I.ÿversicolor
71;5.9;3.2;4.8;1.8;I.ÿversicolor
72;6.1;2.8;4.0;1.3;I.ÿversicolor
73;6.3;2.5;4.9;1.5;I.ÿversicolor
74;6.1;2.8;4.7;1.2;I.ÿversicolor
